customerID,tenure,tenure_band,MonthlyCharges,monthly_charge_band,TotalCharges,Contract,contract_risk_band,service_count,has_fiber,is_month_to_month,estimated_annual_revenue,revenue_at_risk,churn_flag
0731-EBJQB,52,49+ Months,20.4,Low,1090.65,One year,Moderate Risk,0,0,0,244.79999999999998,0.0,0
1891-QRQSA,64,49+ Months,111.6,Very High,7099.0,Two year,Low Risk,6,1,0,1339.1999999999998,0.0,0
8028-PNXHQ,62,49+ Months,24.25,Low,1424.6,Two year,Low Risk,1,0,0,291.0,0.0,0
5630-AHZIL,3,0-12 Months,64.5,Medium,177.4,Month-to-month,High Risk,3,0,1,774.0,0.0,0
2673-CXQEU,56,49+ Months,110.5,Very High,6139.5,One year,Moderate Risk,6,1,0,1326.0,0.0,0
6416-JNVRK,46,25-48 Months,55.65,Medium,2688.85,One year,Moderate Risk,1,0,0,667.8,0.0,0
5590-ZSKRV,8,0-12 Months,54.65,Medium,482.25,Month-to-month,High Risk,2,0,1,655.8,0.0,0
0191-ZHSKZ,30,25-48 Months,74.75,High,2111.3,Month-to-month,High Risk,4,0,1,897.0,0.0,0
3887-PBQAO,45,25-48 Months,25.9,Low,1216.6,One year,Moderate Risk,1,0,0,310.79999999999995,0.0,0
5919-TMRGD,1,0-12 Months,79.35,High,79.35,Month-to-month,High Risk,1,1,1,952.1999999999999,952.1999999999999,1
8108-UXRQN,11,0-12 Months,50.55,Medium,565.35,Month-to-month,High Risk,3,0,1,606.5999999999999,0.0,0
9191-MYQKX,7,0-12 Months,75.15,High,496.9,Month-to-month,High Risk,1,1,1,901.8000000000001,901.8000000000001,1
9919-YLNNG,42,25-48 Months,103.8,Very High,4327.5,Month-to-month,High Risk,5,1,1,1245.6,0.0,0
0318-ZOPWS,49,49+ Months,20.15,Low,973.35,Two year,Low Risk,0,0,0,241.79999999999998,0.0,0
4445-ZJNMU,9,0-12 Months,99.3,High,918.75,Month-to-month,High Risk,4,1,1,1191.6,0.0,0
4808-YNLEU,35,25-48 Months,62.15,Medium,2215.45,One year,Moderate Risk,2,0,0,745.8,0.0,0
1862-QRWPE,48,25-48 Months,20.65,Low,1057.0,Two year,Low Risk,0,0,0,247.79999999999998,0.0,0
2796-NNUFI,46,25-48 Months,19.95,Low,927.1,Two year,Low Risk,0,0,0,239.39999999999998,0.0,0
3016-KSVCP,29,25-48 Months,33.75,Low,1009.25,Month-to-month,High Risk,1,0,1,405.0,0.0,0
4767-HZZHQ,30,25-48 Months,82.05,High,2570.2,Month-to-month,High Risk,2,1,1,984.5999999999999,0.0,0
2424-WVHPL,1,0-12 Months,74.7,High,74.7,Month-to-month,High Risk,1,1,1,896.4000000000001,0.0,0
7233-PAHHL,66,49+ Months,84.0,High,5714.25,Two year,Low Risk,6,0,0,1008.0,0.0,0
6067-NGCEU,65,49+ Months,111.05,Very High,7107.0,Month-to-month,High Risk,6,1,1,1332.6,0.0,0
9848-JQJTX,72,49+ Months,100.9,Very High,7459.05,Two year,Low Risk,5,1,0,1210.8000000000002,0.0,0
8637-XJIVR,12,0-12 Months,78.95,High,927.35,Month-to-month,High Risk,2,1,1,947.4000000000001,947.4000000000001,1
9803-FTJCG,71,49+ Months,66.85,Medium,4748.7,One year,Moderate Risk,4,0,0,802.1999999999999,0.0,0
0278-YXOOG,5,0-12 Months,21.05,Low,113.85,Month-to-month,High Risk,0,0,1,252.60000000000002,252.60000000000002,1
3212-KXOCR,52,49+ Months,21.0,Low,1107.2,Two year,Low Risk,0,0,0,252.0,0.0,0
4598-XLKNJ,25,25-48 Months,98.5,High,2514.5,Month-to-month,High Risk,4,1,1,1182.0,1182.0,1
6380-ARCEH,1,0-12 Months,20.2,Low,20.2,Month-to-month,High Risk,0,0,1,242.39999999999998,0.0,0
3679-XASPY,1,0-12 Months,19.45,Low,19.45,Month-to-month,High Risk,0,0,1,233.39999999999998,0.0,0
7123-WQUHX,38,25-48 Months,95.0,High,3605.6,One year,Moderate Risk,4,1,0,1140.0,0.0,0
5386-THSLQ,66,49+ Months,45.55,Medium,3027.25,One year,Moderate Risk,3,0,0,546.5999999999999,0.0,0
3192-NQECA,68,49+ Months,110.0,Very High,7611.85,Two year,Low Risk,6,1,0,1320.0,1320.0,1
6180-YBIQI,5,0-12 Months,24.3,Low,100.2,Month-to-month,High Risk,0,0,1,291.6,0.0,0
6728-DKUCO,72,49+ Months,104.15,Very High,7303.05,One year,Moderate Risk,5,1,0,1249.8000000000002,0.0,0
9750-BOOHV,32,25-48 Months,30.15,Low,927.65,One year,Moderate Risk,1,0,0,361.79999999999995,0.0,0
8597-CWYHH,43,25-48 Months,94.35,High,3921.3,One year,Moderate Risk,3,1,0,1132.1999999999998,0.0,0
2848-YXSMW,72,49+ Months,19.4,Low,1363.25,Two year,Low Risk,0,0,0,232.79999999999998,0.0,0
0486-HECZI,55,49+ Months,96.75,High,5238.9,Month-to-month,High Risk,4,1,1,1161.0,1161.0,1
4549-ZDQYY,52,49+ Months,57.95,Medium,3042.25,One year,Moderate Risk,3,0,0,695.4000000000001,0.0,0
5712-AHQNN,43,25-48 Months,91.65,High,3954.1,Month-to-month,High Risk,3,1,1,1099.8000000000002,0.0,0
4846-WHAFZ,37,25-48 Months,76.5,High,2868.15,Month-to-month,High Risk,1,1,1,918.0,918.0,1
5256-SKJGO,64,49+ Months,54.6,Medium,3423.5,Two year,Low Risk,4,0,0,655.2,0.0,0
3071-VBYPO,3,0-12 Months,89.85,High,248.4,Month-to-month,High Risk,3,1,1,1078.1999999999998,0.0,0
9560-BBZXK,36,25-48 Months,31.05,Low,1126.35,Two year,Low Risk,1,0,0,372.6,0.0,0
5299-RULOA,10,0-12 Months,100.25,Very High,1064.65,Month-to-month,High Risk,4,1,1,1203.0,1203.0,1
8402-OOOHJ,41,25-48 Months,20.65,Low,835.15,Two year,Low Risk,0,0,0,247.79999999999998,0.0,0
9445-ZUEQE,27,25-48 Months,85.2,High,2151.6,Month-to-month,High Risk,3,1,1,1022.4000000000001,0.0,0
1091-SOZGA,56,49+ Months,99.8,High,5515.45,One year,Moderate Risk,4,1,0,1197.6,0.0,0
2928-HLDBA,6,0-12 Months,20.7,Low,112.75,Month-to-month,High Risk,0,0,1,248.39999999999998,0.0,0
0404-SWRVG,3,0-12 Months,74.4,High,229.55,Month-to-month,High Risk,1,1,1,892.8000000000001,892.8000000000001,1
6497-TILVL,7,0-12 Months,50.7,Medium,350.35,Month-to-month,High Risk,1,0,1,608.4000000000001,0.0,0
7219-TLZHO,4,0-12 Months,20.85,Low,62.9,Month-to-month,High Risk,0,0,1,250.20000000000002,0.0,0
4622-YNKIJ,33,25-48 Months,88.95,High,3027.65,Two year,Low Risk,3,1,0,1067.4,0.0,0
4412-YLTKF,27,25-48 Months,78.05,High,2135.5,Month-to-month,High Risk,2,1,1,936.5999999999999,936.5999999999999,1
6734-PSBAW,72,49+ Months,23.55,Low,1723.95,Two year,Low Risk,1,0,0,282.6,0.0,0
3930-ZGWVE,1,0-12 Months,19.75,Low,19.75,Month-to-month,High Risk,0,0,1,237.0,0.0,0
2639-UGMAZ,71,49+ Months,56.45,Medium,3985.35,One year,Moderate Risk,4,0,0,677.4000000000001,0.0,0
2876-GZYZC,13,13-24 Months,85.95,High,1215.65,Month-to-month,High Risk,2,1,1,1031.4,0.0,0
6207-WIOLX,25,25-48 Months,58.6,Medium,1502.65,Month-to-month,High Risk,5,0,1,703.2,703.2,1
8587-XYZSF,67,49+ Months,50.55,Medium,3260.1,Two year,Low Risk,1,0,0,606.5999999999999,0.0,0
3091-FYHKI,1,0-12 Months,35.45,Medium,35.45,Month-to-month,High Risk,1,0,1,425.40000000000003,425.40000000000003,1
2372-HWUHI,2,0-12 Months,44.35,Medium,81.25,Month-to-month,High Risk,0,0,1,532.2,532.2,1
7799-LGRDP,43,25-48 Months,25.7,Low,1188.2,Two year,Low Risk,1,0,0,308.4,0.0,0
7850-VWJUU,23,13-24 Months,75.0,High,1778.5,Month-to-month,High Risk,1,1,1,900.0,0.0,0
3774-VBNXY,64,49+ Months,20.2,Low,1277.75,Two year,Low Risk,0,0,0,242.39999999999998,0.0,0
6217-KDYWC,57,49+ Months,19.6,Low,1170.55,Two year,Low Risk,0,0,0,235.20000000000002,0.0,0
0390-DCFDQ,1,0-12 Months,70.45,High,70.45,Month-to-month,High Risk,0,1,1,845.4000000000001,845.4000000000001,1
3146-MSEGF,72,49+ Months,88.05,High,6425.65,Two year,Low Risk,7,0,0,1056.6,0.0,0
4080-OGPJL,8,0-12 Months,71.15,High,563.65,Month-to-month,High Risk,4,0,1,853.8000000000001,853.8000000000001,1
1095-WGNGG,61,49+ Months,101.05,Very High,5971.25,Two year,Low Risk,4,1,0,1212.6,0.0,0
2636-SJDOU,64,49+ Months,84.3,High,5289.05,One year,Moderate Risk,3,1,0,1011.5999999999999,0.0,0
1131-QQZEB,71,49+ Months,23.95,Low,1756.2,Two year,Low Risk,1,0,0,287.4,0.0,0
5716-EZXZN,65,49+ Months,99.05,High,6416.7,Two year,Low Risk,5,1,0,1188.6,0.0,0
6837-BJYDQ,3,0-12 Months,19.6,Low,61.35,One year,Moderate Risk,0,0,0,235.20000000000002,0.0,0
2135-RXIHG,1,0-12 Months,45.65,Medium,45.65,Month-to-month,High Risk,0,0,1,547.8,547.8,1
6440-DKQGE,30,25-48 Months,64.5,Medium,1929.95,One year,Moderate Risk,3,0,0,774.0,0.0,0
3466-BYAVD,15,13-24 Months,69.5,Medium,1071.4,Month-to-month,High Risk,4,0,1,834.0,0.0,0
3780-YVMFA,8,0-12 Months,68.55,Medium,564.35,Month-to-month,High Risk,3,0,1,822.5999999999999,0.0,0
3874-EQOEP,7,0-12 Months,95.0,High,655.5,Month-to-month,High Risk,3,1,1,1140.0,1140.0,1
1679-JRFBR,70,49+ Months,108.15,Very High,7930.55,One year,Moderate Risk,6,1,0,1297.8000000000002,0.0,0
9073-ZZIAY,62,49+ Months,86.1,High,5215.25,Two year,Low Risk,6,0,0,1033.1999999999998,0.0,0
3077-RSNTJ,6,0-12 Months,19.7,Low,113.5,Month-to-month,High Risk,0,0,1,236.39999999999998,0.0,0
6551-GNYDG,14,13-24 Months,80.9,High,1152.8,Month-to-month,High Risk,1,1,1,970.8000000000001,0.0,0
9167-APMXZ,22,13-24 Months,84.15,High,1821.95,Month-to-month,High Risk,2,1,1,1009.8000000000001,0.0,0
2749-CTKAJ,22,13-24 Months,20.15,Low,419.9,One year,Moderate Risk,0,0,0,241.79999999999998,0.0,0
6371-NZYEG,16,13-24 Months,64.25,Medium,1024.0,Two year,Low Risk,3,0,0,771.0,0.0,0
7554-NEWDD,10,0-12 Months,25.7,Low,251.6,Two year,Low Risk,1,0,0,308.4,0.0,0
8992-VONJD,13,13-24 Months,56.0,Medium,764.55,Month-to-month,High Risk,2,0,1,672.0,0.0,0
0867-MKZVY,20,13-24 Months,82.4,High,1592.35,Month-to-month,High Risk,2,1,1,988.8000000000001,988.8000000000001,1
4482-EWFMI,2,0-12 Months,69.7,Medium,135.2,Month-to-month,High Risk,0,1,1,836.4000000000001,0.0,0
4648-YPBTM,53,49+ Months,73.9,High,3958.25,Two year,Low Risk,5,0,0,886.8000000000001,0.0,0
2907-ILJBN,11,0-12 Months,20.6,Low,233.9,One year,Moderate Risk,0,0,0,247.20000000000002,0.0,0
6345-FZOQH,69,49+ Months,19.9,Low,1363.45,Two year,Low Risk,0,0,0,238.79999999999998,0.0,0
3376-BMGFE,4,0-12 Months,70.9,High,273.0,Month-to-month,High Risk,0,1,1,850.8000000000001,850.8000000000001,1
5997-OPVFA,72,49+ Months,89.05,High,6254.45,Two year,Low Risk,7,0,0,1068.6,0.0,0
3445-HXXGF,58,49+ Months,45.3,Medium,2651.2,Month-to-month,High Risk,3,0,1,543.5999999999999,543.5999999999999,1
1159-WFSGR,16,13-24 Months,20.4,Low,321.4,Month-to-month,High Risk,0,0,1,244.79999999999998,0.0,0
7654-YWJUF,43,25-48 Months,84.25,High,3539.25,One year,Moderate Risk,3,1,0,1011.0,0.0,0
1875-QIVME,2,0-12 Months,104.4,Very High,242.8,Month-to-month,High Risk,5,1,1,1252.8000000000002,1252.8000000000002,1
6727-IOTLZ,14,13-24 Months,81.95,High,1181.75,Two year,Low Risk,5,0,0,983.4000000000001,0.0,0
0691-JVSYA,53,49+ Months,94.85,High,5000.2,One year,Moderate Risk,3,1,0,1138.1999999999998,1138.1999999999998,1
5918-VUKWP,32,25-48 Months,20.55,Low,654.55,One year,Moderate Risk,0,0,0,246.60000000000002,0.0,0
1744-JHKYS,34,25-48 Months,24.7,Low,780.2,Month-to-month,High Risk,1,0,1,296.4,0.0,0
2656-FMOKZ,15,13-24 Months,74.45,High,1145.7,Month-to-month,High Risk,1,1,1,893.4000000000001,893.4000000000001,1
2070-FNEXE,7,0-12 Months,76.45,High,503.6,Month-to-month,High Risk,1,1,1,917.4000000000001,917.4000000000001,1
5947-SGKCL,15,13-24 Months,105.35,Very High,1559.25,Month-to-month,High Risk,5,1,1,1264.1999999999998,0.0,0
3712-PKXZA,61,49+ Months,20.55,Low,1252.0,One year,Moderate Risk,0,0,0,246.60000000000002,0.0,0
6317-YPKDH,1,0-12 Months,29.95,Low,29.95,Month-to-month,High Risk,1,0,1,359.4,359.4,1
6582-OIVSP,1,0-12 Months,45.3,Medium,45.3,Month-to-month,High Risk,0,0,1,543.5999999999999,0.0,0
9367-WXLCH,8,0-12 Months,84.5,High,662.65,Month-to-month,High Risk,2,1,1,1014.0,1014.0,1
5524-KHNJP,33,25-48 Months,74.75,High,2453.3,One year,Moderate Risk,4,0,0,897.0,0.0,0
1918-ZBFQJ,13,13-24 Months,79.25,High,1111.65,Month-to-month,High Risk,2,1,1,951.0,951.0,1
1024-GUALD,1,0-12 Months,24.8,Low,24.8,Month-to-month,High Risk,0,0,1,297.6,297.6,1
4827-USJHP,20,13-24 Months,51.8,Medium,1023.85,Month-to-month,High Risk,1,0,1,621.5999999999999,0.0,0
8167-GJLRN,3,0-12 Months,30.4,Low,82.15,Month-to-month,High Risk,1,0,1,364.79999999999995,0.0,0
0956-SYCWG,13,13-24 Months,19.65,Low,244.8,One year,Moderate Risk,0,0,0,235.79999999999998,0.0,0
8017-UVSZU,40,25-48 Months,56.6,Medium,2379.1,Month-to-month,High Risk,2,0,1,679.2,0.0,0
7100-FQPRV,43,25-48 Months,71.9,High,3173.35,One year,Moderate Risk,4,0,0,862.8000000000001,0.0,0
2472-OVKUP,6,0-12 Months,91.0,High,531.0,Month-to-month,High Risk,3,1,1,1092.0,1092.0,1
2984-RGEYA,69,49+ Months,19.75,Low,1375.4,Two year,Low Risk,0,0,0,237.0,0.0,0
9680-NIAUV,72,49+ Months,109.7,Very High,8129.3,Two year,Low Risk,6,1,0,1316.4,0.0,0
2146-EGVDT,59,49+ Months,19.3,Low,1192.7,Two year,Low Risk,0,0,0,231.60000000000002,0.0,0
2604-IJPDU,20,13-24 Months,96.55,High,1901.65,Month-to-month,High Risk,4,1,1,1158.6,0.0,0
9178-JHUVJ,24,13-24 Months,24.1,Low,587.4,Two year,Low Risk,1,0,0,289.20000000000005,0.0,0
6168-YBYNP,59,49+ Months,111.35,Very High,6519.75,Month-to-month,High Risk,6,1,1,1336.1999999999998,0.0,0
7255-SSFBC,72,49+ Months,112.25,Very High,8041.65,Two year,Low Risk,6,1,0,1347.0,0.0,0
3645-DEYGF,1,0-12 Months,20.75,Low,20.75,Month-to-month,High Risk,0,0,1,249.0,0.0,0
9323-HGFWY,27,25-48 Months,101.9,Very High,2681.15,One year,Moderate Risk,4,1,0,1222.8000000000002,0.0,0
8544-GOQSH,14,13-24 Months,80.05,High,1112.3,Month-to-month,High Risk,2,1,1,960.5999999999999,0.0,0
3363-DTIVD,71,49+ Months,105.55,Very High,7405.5,Two year,Low Risk,5,1,0,1266.6,0.0,0
7018-WBJNK,13,13-24 Months,78.3,High,1033.95,Month-to-month,High Risk,1,1,1,939.5999999999999,0.0,0
9142-KZXOP,44,25-48 Months,68.85,Medium,2958.95,Month-to-month,High Risk,0,1,1,826.1999999999999,0.0,0
7674-YTAFD,33,25-48 Months,79.95,High,2684.85,One year,Moderate Risk,2,1,0,959.4000000000001,0.0,0
6348-SNFUS,72,49+ Months,55.45,Medium,4179.2,Two year,Low Risk,5,0,0,665.4000000000001,0.0,0
1285-OKIPP,1,0-12 Months,79.9,High,79.9,Month-to-month,High Risk,1,1,1,958.8000000000001,958.8000000000001,1
7825-ECJRF,19,13-24 Months,106.6,Very High,1934.45,Month-to-month,High Risk,5,1,1,1279.1999999999998,1279.1999999999998,1
1347-KTTTA,64,49+ Months,102.45,Very High,6654.1,One year,Moderate Risk,5,1,0,1229.4,0.0,0
7841-TZDMQ,2,0-12 Months,46.0,Medium,84.5,Month-to-month,High Risk,0,0,1,552.0,552.0,1
4195-NZGTA,1,0-12 Months,25.25,Low,25.25,Month-to-month,High Risk,0,0,1,303.0,0.0,0
7157-SMCFK,61,49+ Months,19.75,Low,1124.2,Two year,Low Risk,0,0,0,237.0,0.0,0
4709-LKHYG,29,25-48 Months,20.0,Low,540.05,One year,Moderate Risk,0,0,0,240.0,0.0,0
2504-DSHIH,23,13-24 Months,86.8,High,1975.85,Month-to-month,High Risk,2,1,1,1041.6,0.0,0
0699-NDKJM,57,49+ Months,58.75,Medium,3437.45,Month-to-month,High Risk,5,0,1,705.0,0.0,0
9286-BHDQG,72,49+ Months,45.25,Medium,3139.8,Two year,Low Risk,4,0,0,543.0,0.0,0
0230-WEQUW,66,49+ Months,56.6,Medium,3789.2,Two year,Low Risk,5,0,0,679.2,0.0,0
2040-LDIWQ,65,49+ Months,84.2,High,5324.5,Two year,Low Risk,6,0,0,1010.4000000000001,0.0,0
6496-JDSSB,8,0-12 Months,80.0,High,624.6,Month-to-month,High Risk,1,1,1,960.0,0.0,0
9408-SSNVZ,4,0-12 Months,70.15,High,268.35,Month-to-month,High Risk,0,1,1,841.8000000000001,841.8000000000001,1
4443-EMBNA,71,49+ Months,24.75,Low,1836.9,Two year,Low Risk,1,0,0,297.0,0.0,0
6469-MRVET,1,0-12 Months,20.2,Low,20.2,One year,Moderate Risk,0,0,0,242.39999999999998,0.0,0
0742-MOABM,4,0-12 Months,50.05,Medium,179.35,Month-to-month,High Risk,1,0,1,600.5999999999999,600.5999999999999,1
5961-VUSRV,12,0-12 Months,19.35,Low,219.35,One year,Moderate Risk,0,0,0,232.20000000000002,0.0,0
6778-JFCMK,24,13-24 Months,50.6,Medium,1288.75,One year,Moderate Risk,3,0,0,607.2,0.0,0
6341-JVQGF,31,25-48 Months,81.15,High,2545.75,One year,Moderate Risk,5,0,0,973.8000000000001,0.0,0
2232-DMLXU,1,0-12 Months,55.2,Medium,55.2,Month-to-month,High Risk,1,0,1,662.4000000000001,662.4000000000001,1
4811-JBUVU,30,25-48 Months,89.9,High,2723.15,Month-to-month,High Risk,3,1,1,1078.8000000000002,0.0,0
0945-TSONX,47,25-48 Months,85.3,High,4107.25,Two year,Low Risk,6,0,0,1023.5999999999999,0.0,0
