customerID,Contract,tenure,MonthlyCharges,estimated_annual_revenue,predicted_churn_probability,predicted_risk_band,predicted_revenue_at_risk,retention_priority_score,priority_tier,customer_value_band,recommended_offer_type,retention_action
3811-VBYBZ,Month-to-month,7,99.8,1197.6,0.8611430325182196,Critical,1031.3,1031.3,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5178-LMXOP,Month-to-month,1,95.1,1141.1999999999998,0.9021241936127108,Critical,1029.5,1029.5,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0295-PPHDO,Month-to-month,1,95.45,1145.4,0.8986618458892436,Critical,1029.33,1029.33,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2656-TABEH,Month-to-month,4,100.2,1202.4,0.8552736790389461,Critical,1028.38,1028.38,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4910-GMJOT,Month-to-month,1,94.6,1135.1999999999998,0.9048578399084006,Critical,1027.19,1027.19,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8149-RSOUN,Month-to-month,1,93.85,1126.1999999999998,0.9071410479284508,Critical,1021.62,1021.62,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5299-SJCZT,Month-to-month,3,101.55,1218.6,0.8348382502040896,Critical,1017.33,1017.33,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1455-UGQVH,Month-to-month,10,98.5,1182.0,0.8605342657244628,Critical,1017.15,1017.15,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2968-SSGAA,Month-to-month,10,100.6,1207.1999999999998,0.842004513916681,Critical,1016.47,1016.47,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7234-FECYN,Month-to-month,8,101.35,1216.1999999999998,0.8340029844689567,Critical,1014.31,1014.31,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4078-SAYYN,Month-to-month,11,100.75,1209.0,0.8356704686368246,Critical,1010.33,1010.33,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3178-FESZO,Month-to-month,1,100.25,1203.0,0.8396661784186092,Critical,1010.12,1010.12,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9172-ANCRX,Month-to-month,10,98.7,1184.4,0.8519850738502832,Critical,1009.09,1009.09,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0655-RBDUG,Month-to-month,7,98.05,1176.6,0.8565733019997485,Critical,1007.84,1007.84,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0702-PGIBZ,Month-to-month,4,101.7,1220.4,0.8239777161229382,Critical,1005.58,1005.58,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0897-FEGMU,Month-to-month,11,99.5,1194.0,0.8411402602577169,Critical,1004.32,1004.32,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7851-WZEKY,Month-to-month,2,95.15,1141.8000000000002,0.8788627680036327,Critical,1003.49,1003.49,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6108-OQZDQ,Month-to-month,4,97.95,1175.4,0.8533511582567151,Critical,1003.03,1003.03,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8098-LLAZX,Month-to-month,4,95.45,1145.4,0.8748610281262177,Critical,1002.07,1002.07,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3389-YGYAI,Month-to-month,8,105.5,1266.0,0.7910561981377026,Critical,1001.48,1001.48,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3902-FOIGH,Month-to-month,12,101.35,1216.1999999999998,0.8216981634990339,Critical,999.35,999.35,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7450-NWRTR,Month-to-month,12,99.45,1193.4,0.8362485722502014,Critical,997.98,997.98,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9057-SIHCH,Month-to-month,3,96.6,1159.1999999999998,0.8608349094592446,Critical,997.88,997.88,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4424-TKOPW,Month-to-month,2,93.85,1126.1999999999998,0.882598097428057,Critical,993.98,993.98,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2720-WGKHP,Month-to-month,2,94.0,1128.0,0.879982852276049,Critical,992.62,992.62,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6496-SLWHQ,Month-to-month,3,105.0,1260.0,0.786553016729858,Critical,991.06,991.06,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6210-KBBPI,Month-to-month,9,99.45,1193.4,0.8270412876267589,Critical,986.99,986.99,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6521-YYTYI,Month-to-month,1,93.3,1119.6,0.8789436978594489,Critical,984.07,984.07,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5293-WXJAK,Month-to-month,11,104.05,1248.6,0.7846409104286598,Critical,979.7,979.7,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6688-UZPWD,Month-to-month,11,102.0,1224.0,0.7989766535490616,Critical,977.95,977.95,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7181-BQYBV,Month-to-month,1,102.45,1229.4,0.7952856815223815,Critical,977.72,977.72,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6023-YEBUP,Month-to-month,3,100.95,1211.4,0.8067294606914938,Critical,977.27,977.27,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8168-UQWWF,Month-to-month,11,97.85,1174.1999999999998,0.8319361953163362,Critical,976.86,976.86,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7024-OHCCK,Month-to-month,2,93.85,1126.1999999999998,0.8672492518528615,Critical,976.7,976.7,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3049-SOLAY,Month-to-month,3,95.2,1142.4,0.8547624494691504,Critical,976.48,976.48,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2612-RANWT,Month-to-month,12,100.15,1201.8000000000002,0.810799616709736,Critical,974.42,974.42,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3158-MOERK,Month-to-month,2,96.0,1152.0,0.8453664182666086,Critical,973.86,973.86,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3387-VATUS,Month-to-month,5,94.85,1138.1999999999998,0.8521527685608944,Critical,969.92,969.92,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3643-AHCFP,Month-to-month,7,95.6,1147.1999999999998,0.8441090913223411,Critical,968.36,968.36,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5567-WSELE,Month-to-month,3,94.6,1135.1999999999998,0.8516821057025112,Critical,966.83,966.83,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5299-RULOA,Month-to-month,10,100.25,1203.0,0.803057738742036,Critical,966.08,966.08,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4445-ZJNMU,Month-to-month,9,99.3,1191.6,0.8095077175125374,Critical,964.61,964.61,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6857-VWJDT,Month-to-month,1,95.65,1147.8000000000002,0.839853566545341,Critical,963.98,963.98,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3006-XIMLN,Month-to-month,2,94.2,1130.4,0.8523043851268716,Critical,963.44,963.44,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5380-AFSSK,Month-to-month,5,93.9,1126.8000000000002,0.8531000036362315,Critical,961.27,961.27,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2660-EMUBI,Month-to-month,10,95.35,1144.1999999999998,0.8385996355261054,Critical,959.53,959.53,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8161-QYMTT,Month-to-month,7,94.1,1129.1999999999998,0.8489576533213091,Critical,958.64,958.64,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8775-LHDJH,Month-to-month,1,90.6,1087.1999999999998,0.8795421551838897,Critical,956.24,956.24,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7089-IVVAZ,Month-to-month,8,103.35,1240.1999999999998,0.7705722844530537,Critical,955.66,955.66,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9025-AOMKI,Month-to-month,6,93.55,1122.6,0.851074128915187,Critical,955.42,955.42,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9546-CQJSU,Month-to-month,2,91.4,1096.8000000000002,0.869632253870652,Critical,953.81,953.81,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9223-UCPVT,Month-to-month,1,94.4,1132.8000000000002,0.8410770861850273,Critical,952.77,952.77,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7943-RQCHR,Month-to-month,9,94.75,1137.0,0.8376106755268392,Critical,952.36,952.36,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8510-AWCXC,Month-to-month,13,100.8,1209.6,0.7871258764781411,Critical,952.11,952.11,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0880-TKATG,Month-to-month,4,101.15,1213.8000000000002,0.7836659242079351,Critical,951.21,951.21,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4626-GYCZP,Month-to-month,7,93.85,1126.1999999999998,0.8444650733559133,Critical,951.04,951.04,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0564-JJHGS,Month-to-month,9,95.5,1146.0,0.8280868797192131,Critical,948.99,948.99,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2454-RPBRZ,Month-to-month,12,98.1,1177.1999999999998,0.8051041162387499,Critical,947.77,947.77,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1374-DMZUI,Month-to-month,4,94.3,1131.6,0.8365320905876921,Critical,946.62,946.62,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5797-APWZC,Month-to-month,1,90.6,1087.1999999999998,0.8640699809338135,Critical,939.42,939.42,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7294-TMAOP,Month-to-month,1,90.55,1086.6,0.8640699809338135,Critical,938.9,938.9,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2754-SDJRD,Month-to-month,8,100.15,1201.8000000000002,0.7773536073715651,Critical,934.22,934.22,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7526-BEZQB,Month-to-month,12,96.05,1152.6,0.8102801152069927,Critical,933.93,933.93,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4236-XPXAV,Month-to-month,5,99.15,1189.8000000000002,0.7844580311123311,Critical,933.35,933.35,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2462-XIIJB,Month-to-month,5,92.5,1110.0,0.8408375755787699,Critical,933.33,933.33,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7295-JOMMD,Month-to-month,4,98.1,1177.1999999999998,0.7921121843597326,Critical,932.47,932.47,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3068-OMWZA,Month-to-month,1,88.8,1065.6,0.8748547129540456,Critical,932.25,932.25,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3988-RQIXO,Month-to-month,1,91.3,1095.6,0.8499325837414909,Critical,931.19,931.19,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2265-CYWIV,Month-to-month,4,99.6,1195.1999999999998,0.7779186930256056,Critical,929.77,929.77,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7548-SEPYI,Month-to-month,5,96.25,1155.0,0.8049534951357137,Critical,929.72,929.72,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3440-JPSCL,Month-to-month,6,99.95,1199.4,0.774650198564868,Critical,929.12,929.12,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4587-VVTOX,Month-to-month,6,105.3,1263.6,0.7343557003576114,High,927.93,927.93,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
1875-QIVME,Month-to-month,2,104.4,1252.8000000000002,0.7406406659422765,High,927.87,927.87,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6892-EZDTG,Month-to-month,4,91.65,1099.8000000000002,0.8420995720431524,Critical,926.14,926.14,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3992-YWPKO,Month-to-month,6,109.9,1318.8000000000002,0.7017926648139988,High,925.52,925.52,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
9734-YWGEX,Month-to-month,9,98.3,1179.6,0.7840535961380128,Critical,924.87,924.87,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6956-SMUCM,Month-to-month,3,99.0,1188.0,0.7773032030436822,Critical,923.44,923.44,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0754-UKWQP,Month-to-month,2,95.85,1150.1999999999998,0.8022839755920366,Critical,922.79,922.79,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3606-TWKGI,Month-to-month,13,106.9,1282.8000000000002,0.7137208636587834,High,915.56,915.56,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
7274-RTAPZ,Month-to-month,1,90.55,1086.6,0.8414674967154536,Critical,914.34,914.34,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8603-IJWDN,Month-to-month,1,86.6,1039.1999999999998,0.8795459966836844,Critical,914.02,914.02,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1450-GALXR,Month-to-month,10,98.5,1182.0,0.7724385556507526,Critical,913.02,913.02,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6356-ELRKD,Month-to-month,1,95.6,1147.1999999999998,0.7950442021616395,Critical,912.07,912.07,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7330-WZLNC,Month-to-month,5,90.8,1089.6,0.8357723556051231,Critical,910.66,910.66,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9330-IJWIO,Month-to-month,13,100.35,1204.1999999999998,0.7542562387278553,Critical,908.28,908.28,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6328-ZPBGN,Month-to-month,11,95.15,1141.8000000000002,0.7941469999262516,Critical,906.76,906.76,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1400-MMYXY,Month-to-month,3,105.9,1270.8000000000002,0.7135285867443466,High,906.75,906.75,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
2982-VPSGI,Month-to-month,11,94.0,1128.0,0.8037284642189972,Critical,906.61,906.61,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1069-XAIEM,Month-to-month,1,85.05,1020.6,0.8871630989554544,Critical,905.44,905.44,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4927-WWOOZ,Month-to-month,2,91.45,1097.4,0.8240143901969198,Critical,904.27,904.27,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4826-XTSOH,Month-to-month,1,86.05,1032.6,0.8755653064217978,Critical,904.11,904.11,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5519-YLDGW,Month-to-month,21,103.9,1246.8000000000002,0.7247481303465912,High,903.62,903.62,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
3585-ISXZP,Month-to-month,8,95.65,1147.8000000000002,0.787021009065783,Critical,903.34,903.34,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5138-WVKYJ,Month-to-month,10,98.55,1182.6,0.7626205107801953,Critical,901.88,901.88,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4695-WJZUE,Month-to-month,2,88.55,1062.6,0.846232157269772,Critical,899.21,899.21,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1567-DSCIC,Month-to-month,8,94.0,1128.0,0.7964422502649872,Critical,898.39,898.39,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1389-CXMLU,Month-to-month,3,91.05,1092.6,0.8206369182305657,Critical,896.63,896.63,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9124-LHCJQ,Month-to-month,1,85.45,1025.4,0.8731935791461124,Critical,895.37,895.37,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5419-CONWX,Month-to-month,4,99.8,1197.6,0.7476207265605298,High,895.35,895.35,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
2725-KXXWT,Month-to-month,1,90.75,1089.0,0.8214279348762775,Critical,894.54,894.54,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6137-NICCO,Month-to-month,6,94.05,1128.6,0.7920698937711967,Critical,893.93,893.93,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5130-IEKQT,Month-to-month,25,105.95,1271.4,0.70261889267617,High,893.31,893.31,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
4315-MURBD,Month-to-month,12,98.9,1186.8000000000002,0.7526387249226156,Critical,893.23,893.23,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4423-YLHDV,Month-to-month,21,104.4,1252.8000000000002,0.7123654183554092,High,892.45,892.45,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6326-MTTXK,Month-to-month,8,100.85,1210.1999999999998,0.7373488425879101,High,892.34,892.34,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
8357-EQXFO,Month-to-month,7,95.35,1144.1999999999998,0.7798055312617628,Critical,892.25,892.25,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5150-ITWWB,Month-to-month,3,94.85,1138.1999999999998,0.7838084124785906,Critical,892.13,892.13,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3319-DWOEP,Month-to-month,6,95.75,1149.0,0.7740450347225357,Critical,889.38,889.38,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5192-EBGOV,Month-to-month,1,85.7,1028.4,0.864808574812358,Critical,889.37,889.37,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3874-EQOEP,Month-to-month,7,95.0,1140.0,0.7798335672621699,Critical,889.01,889.01,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3621-CEOVK,Month-to-month,14,100.2,1202.4,0.7382540113719236,High,887.68,887.68,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
5167-ZFFMM,Month-to-month,1,90.85,1090.1999999999998,0.81347515288595,Critical,886.85,886.85,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9282-IZGQK,Month-to-month,1,85.0,1020.0,0.869252836998564,Critical,886.64,886.64,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1624-NALOJ,Month-to-month,5,89.8,1077.6,0.8227728969423682,Critical,886.62,886.62,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5095-AESKG,Month-to-month,3,91.5,1098.0,0.8063781064142409,Critical,885.4,885.4,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4192-GORJT,Month-to-month,5,94.45,1133.4,0.78020785672025,Critical,884.29,884.29,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1571-SAVHK,Month-to-month,12,99.95,1199.4,0.7357973733069703,High,882.52,882.52,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
9944-HKVVB,Month-to-month,3,95.1,1141.1999999999998,0.773054674901306,Critical,882.21,882.21,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5052-PNLOS,Month-to-month,3,105.35,1264.1999999999998,0.6965841517959473,High,880.62,880.62,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
3049-NDXFL,Month-to-month,1,85.8,1029.6,0.8546374573149463,Critical,879.93,879.93,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8622-ZLFKO,Month-to-month,6,90.75,1089.0,0.8072791176128022,Critical,879.13,879.13,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1273-MTETI,Month-to-month,4,88.85,1066.1999999999998,0.8240453641402717,Critical,878.6,878.6,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0329-GTIAJ,Month-to-month,3,97.9,1174.8000000000002,0.7458880908114718,High,876.27,876.27,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
4228-ZGYUW,Month-to-month,4,90.05,1080.6,0.8100137776800126,Critical,875.3,875.3,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
7783-YKGDV,Month-to-month,12,99.7,1196.4,0.7311318977338035,High,874.73,874.73,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
9725-SCPZG,Month-to-month,1,90.85,1090.1999999999998,0.8019710511333176,Critical,874.31,874.31,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5698-BQJOH,Month-to-month,9,94.4,1132.8000000000002,0.7717790972535233,Critical,874.27,874.27,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3217-FZDMN,Month-to-month,8,94.45,1133.4,0.7708889499409135,Critical,873.73,873.73,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1010-DIAUQ,Month-to-month,5,96.5,1158.0,0.752998847680301,Critical,871.97,871.97,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1309-BXVOQ,Month-to-month,21,106.1,1273.1999999999998,0.6845579872806455,High,871.58,871.58,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
2645-QTLMB,Month-to-month,7,94.25,1131.0,0.7687193725276154,Critical,869.42,869.42,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1583-IHQZE,Month-to-month,12,112.95,1355.4,0.6406553996407895,High,868.34,868.34,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
1465-VINDH,Month-to-month,10,102.1,1225.1999999999998,0.7084608035760434,High,868.01,868.01,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
5519-NPHVG,Month-to-month,12,94.2,1130.4,0.7669712028318423,Critical,866.98,866.98,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1075-BGWOH,Month-to-month,16,98.75,1185.0,0.7308329019887396,High,866.04,866.04,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
0684-AOSIH,Month-to-month,1,95.0,1140.0,0.7576130149384794,Critical,863.68,863.68,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9874-QLCLH,Month-to-month,17,104.2,1250.4,0.6906429152076441,High,863.58,863.58,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
1579-KLYDT,Month-to-month,7,90.45,1085.4,0.7951322329428837,Critical,863.04,863.04,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3398-FSHON,Month-to-month,12,91.3,1095.6,0.7869438439062774,Critical,862.18,862.18,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8118-LSUEL,Month-to-month,23,106.4,1276.8000000000002,0.674924134065959,High,861.74,861.74,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
5277-ZLOOR,Month-to-month,2,85.55,1026.6,0.8393115420660596,Critical,861.64,861.64,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6615-NGGZJ,Month-to-month,14,100.55,1206.6,0.714045525248342,High,861.57,861.57,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
2027-FECZV,Month-to-month,12,106.7,1280.4,0.6718502651662145,High,860.24,860.24,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
2545-EBUPK,Month-to-month,2,84.05,1008.6,0.8521139407326973,Critical,859.44,859.44,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4951-UKAAQ,Month-to-month,4,88.95,1067.4,0.8040145909616871,Critical,858.21,858.21,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0259-GBZSH,Month-to-month,2,85.65,1027.8000000000002,0.8340731567153112,Critical,857.26,857.26,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
3027-ZTDHO,Month-to-month,1,89.9,1078.8000000000002,0.7940298577303614,Critical,856.6,856.6,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
