customerID,Contract,tenure,MonthlyCharges,estimated_annual_revenue,predicted_churn_probability,predicted_risk_band,predicted_revenue_at_risk,retention_priority_score,priority_tier,customer_value_band,recommended_offer_type,retention_action
4929-XIHVW,Month-to-month,2,95.5,1146.0,0.669894889267279,High,767.7,767.7,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6827-IEAUQ,One year,27,66.15,793.8000000000001,0.0442570223229082,Low,35.13,35.13,P4,Medium Value,No immediate offer,Monitor only
7310-EGVHZ,Month-to-month,1,20.2,242.4,0.3175278007562569,Moderate,76.97,76.97,P4,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
3413-BMNZE,Month-to-month,1,45.25,543.0,0.5221222558890617,High,283.51,283.51,P3,Standard Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
6234-RAAPL,Two year,72,99.9,1198.8000000000002,0.0212519594429138,Low,25.48,25.48,P4,High Value,No immediate offer,Monitor only
6047-YHPVI,Month-to-month,5,69.7,836.4000000000001,0.5533163310808797,High,462.79,462.79,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
6572-ADKRS,Month-to-month,46,74.8,897.5999999999999,0.2909718884970992,Moderate,261.18,261.18,P3,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
5380-WJKOV,Month-to-month,34,106.35,1276.1999999999998,0.5554454836079127,High,708.86,708.86,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
8168-UQWWF,Month-to-month,11,97.85,1174.1999999999998,0.8319361953163362,Critical,976.86,976.86,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8865-TNMNX,One year,10,49.55,594.5999999999999,0.1062038226963089,Low,63.15,63.15,P4,Standard Value,No immediate offer,Monitor only
9489-DEDVP,Two year,70,69.2,830.4000000000001,0.0183819828317045,Low,15.26,15.26,P4,Medium Value,No immediate offer,Monitor only
9867-JCZSP,One year,17,20.75,249.0,0.0324987450569104,Low,8.09,8.09,P4,Standard Value,No immediate offer,Monitor only
4671-VJLCL,Two year,63,79.85,958.2,0.0312421541909266,Low,29.94,29.94,P4,Medium Value,No immediate offer,Monitor only
4080-IIARD,Month-to-month,13,76.2,914.4,0.1923600137617877,Low,175.89,175.89,P3,Medium Value,No immediate offer,Monitor only
3714-NTNFO,Month-to-month,49,84.5,1014.0,0.4212340692466901,Moderate,427.13,427.13,P2,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
5948-UJZLF,Month-to-month,2,49.25,591.0,0.4305131957375139,Moderate,254.43,254.43,P3,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
7760-OYPDY,Month-to-month,2,80.65,967.8,0.7130723169197033,High,690.11,690.11,P2,Medium Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
7639-LIAYI,Two year,52,79.75,957.0,0.0194265866156428,Low,18.59,18.59,P4,Medium Value,No immediate offer,Monitor only
2954-PIBKO,Two year,69,64.15,769.8000000000001,0.0452020660035328,Low,34.8,34.8,P4,Medium Value,No immediate offer,Monitor only
8012-SOUDQ,Month-to-month,43,90.25,1083.0,0.3827450036547203,Moderate,414.51,414.51,P2,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
9420-LOJKX,Month-to-month,15,99.1,1189.1999999999998,0.615264050372761,High,731.67,731.67,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6575-SUVOI,Month-to-month,25,69.5,834.0,0.091263286955513,Low,76.11,76.11,P4,Medium Value,No immediate offer,Monitor only
7495-OOKFY,Month-to-month,8,80.65,967.8,0.6725008396075609,High,650.85,650.85,P2,Medium Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
4667-QONEA,One year,60,74.85,898.1999999999999,0.0793669585070127,Low,71.29,71.29,P4,Medium Value,No immediate offer,Monitor only
1658-BYGOY,Month-to-month,18,95.45,1145.4,0.6785824441964157,High,777.25,777.25,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
8769-KKTPH,One year,63,99.65,1195.8000000000002,0.1322201565822568,Low,158.11,158.11,P3,High Value,No immediate offer,Monitor only
5067-XJQFU,One year,66,108.45,1301.4,0.2342271051052142,Low,304.82,304.82,P3,High Value,No immediate offer,Monitor only
3957-SQXML,Two year,34,24.95,299.4,0.0181127952316854,Low,5.42,5.42,P4,Standard Value,No immediate offer,Monitor only
5954-BDFSG,Two year,72,107.5,1290.0,0.145611682918253,Low,187.84,187.84,P3,High Value,No immediate offer,Monitor only
0434-CSFON,Month-to-month,47,100.5,1206.0,0.4989126296780655,Moderate,601.69,601.69,P2,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
1215-FIGMP,Month-to-month,60,89.9,1078.8000000000002,0.2836115135242472,Moderate,305.96,305.96,P3,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
0526-SXDJP,Two year,72,42.1,505.2000000000001,0.0231485744879019,Low,11.69,11.69,P4,Standard Value,No immediate offer,Monitor only
0557-ASKVU,One year,18,54.4,652.8,0.1342101322762484,Low,87.61,87.61,P4,Medium Value,No immediate offer,Monitor only
5698-BQJOH,Month-to-month,9,94.4,1132.8000000000002,0.7717790972535233,Critical,874.27,874.27,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5122-CYFXA,Month-to-month,3,75.3,903.6,0.328877284499946,Moderate,297.17,297.17,P3,Medium Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
8627-ZYGSZ,One year,47,78.9,946.8,0.0970791097713616,Low,91.91,91.91,P4,Medium Value,No immediate offer,Monitor only
3410-YOQBQ,Two year,31,79.2,950.4,0.01311460940187,Low,12.46,12.46,P4,Medium Value,No immediate offer,Monitor only
3170-NMYVV,Two year,50,20.15,241.8,0.0160592595659006,Low,3.88,3.88,P4,Standard Value,No immediate offer,Monitor only
7410-OIEDU,Month-to-month,10,79.85,958.2,0.374471877256247,Moderate,358.82,358.82,P3,Medium Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
2273-QCKXA,Month-to-month,1,49.05,588.5999999999999,0.3631649111245224,Moderate,213.76,213.76,P3,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
0731-EBJQB,One year,52,20.4,244.8,0.0223754734850532,Low,5.48,5.48,P4,Standard Value,No immediate offer,Monitor only
1891-QRQSA,Two year,64,111.6,1339.1999999999998,0.1408038099369891,Low,188.56,188.56,P3,High Value,No immediate offer,Monitor only
8028-PNXHQ,Two year,62,24.25,291.0,0.0119734834455747,Low,3.48,3.48,P4,Standard Value,No immediate offer,Monitor only
5630-AHZIL,Month-to-month,3,64.5,774.0,0.2265922676058389,Low,175.38,175.38,P3,Medium Value,No immediate offer,Monitor only
2673-CXQEU,One year,56,110.5,1326.0,0.2335574325713879,Low,309.7,309.7,P3,High Value,No immediate offer,Monitor only
6416-JNVRK,One year,46,55.65,667.8,0.1137297099741066,Low,75.95,75.95,P4,Medium Value,No immediate offer,Monitor only
5590-ZSKRV,Month-to-month,8,54.65,655.8,0.1849176506702683,Low,121.27,121.27,P4,Medium Value,No immediate offer,Monitor only
0191-ZHSKZ,Month-to-month,30,74.75,897.0,0.2005118698022536,Low,179.86,179.86,P3,Medium Value,No immediate offer,Monitor only
3887-PBQAO,One year,45,25.9,310.79999999999995,0.0343729903213714,Low,10.68,10.68,P4,Standard Value,No immediate offer,Monitor only
5919-TMRGD,Month-to-month,1,79.35,952.2,0.8312622644867328,Critical,791.53,791.53,P1,Medium Value,Contract conversion incentive,High-touch onboarding recovery and service review
8108-UXRQN,Month-to-month,11,50.55,606.5999999999999,0.3005022874732373,Moderate,182.28,182.28,P3,Medium Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
9191-MYQKX,Month-to-month,7,75.15,901.8,0.5920263179218935,High,533.89,533.89,P2,Medium Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
9919-YLNNG,Month-to-month,42,103.8,1245.6,0.3472693281254149,Moderate,432.56,432.56,P2,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
0318-ZOPWS,Two year,49,20.15,241.8,0.0149676703926678,Low,3.62,3.62,P4,Standard Value,No immediate offer,Monitor only
4445-ZJNMU,Month-to-month,9,99.3,1191.6,0.8095077175125374,Critical,964.61,964.61,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4808-YNLEU,One year,35,62.15,745.8,0.0274412894441031,Low,20.47,20.47,P4,Medium Value,No immediate offer,Monitor only
1862-QRWPE,Two year,48,20.65,247.8,0.0045956744860543,Low,1.14,1.14,P4,Standard Value,No immediate offer,Monitor only
2796-NNUFI,Two year,46,19.95,239.4,0.0015719512190737,Low,0.38,0.38,P4,Standard Value,No immediate offer,Monitor only
3016-KSVCP,Month-to-month,29,33.75,405.0,0.2563980180184494,Moderate,103.84,103.84,P4,Standard Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
4767-HZZHQ,Month-to-month,30,82.05,984.6,0.2657271185988865,Moderate,261.63,261.63,P3,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
2424-WVHPL,Month-to-month,1,74.7,896.4000000000001,0.5301741512245788,High,475.25,475.25,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
7233-PAHHL,Two year,66,84.0,1008.0,0.0122633646251441,Low,12.36,12.36,P4,High Value,No immediate offer,Monitor only
6067-NGCEU,Month-to-month,65,111.05,1332.6,0.1269637391521368,Low,169.19,169.19,P3,High Value,No immediate offer,Monitor only
9848-JQJTX,Two year,72,100.9,1210.8000000000002,0.0883724745937019,Low,107.0,107.0,P4,High Value,No immediate offer,Monitor only
8637-XJIVR,Month-to-month,12,78.95,947.4,0.547258848215992,High,518.47,518.47,P2,Medium Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
9803-FTJCG,One year,71,66.85,802.1999999999999,0.0353439329740628,Low,28.35,28.35,P4,Medium Value,No immediate offer,Monitor only
0278-YXOOG,Month-to-month,5,21.05,252.6,0.2102201781524276,Low,53.1,53.1,P4,Standard Value,No immediate offer,Monitor only
3212-KXOCR,Two year,52,21.0,252.0,0.0127651324608873,Low,3.22,3.22,P4,Standard Value,No immediate offer,Monitor only
4598-XLKNJ,Month-to-month,25,98.5,1182.0,0.6439390407356509,High,761.14,761.14,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6380-ARCEH,Month-to-month,1,20.2,242.4,0.3735655527840953,Moderate,90.55,90.55,P4,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
3679-XASPY,Month-to-month,1,19.45,233.4,0.352119705403995,Moderate,82.18,82.18,P4,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
7123-WQUHX,One year,38,95.0,1140.0,0.0876505482826476,Low,99.92,99.92,P4,High Value,No immediate offer,Monitor only
5386-THSLQ,One year,66,45.55,546.5999999999999,0.0855157285805347,Low,46.74,46.74,P4,Standard Value,No immediate offer,Monitor only
3192-NQECA,Two year,68,110.0,1320.0,0.2366346647019289,Low,312.36,312.36,P3,High Value,No immediate offer,Monitor only
6180-YBIQI,Month-to-month,5,24.3,291.6,0.3286638446776642,Moderate,95.84,95.84,P4,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
6728-DKUCO,One year,72,104.15,1249.8000000000002,0.1052367021376923,Low,131.52,131.52,P4,High Value,No immediate offer,Monitor only
9750-BOOHV,One year,32,30.15,361.7999999999999,0.0882183330954579,Low,31.92,31.92,P4,Standard Value,No immediate offer,Monitor only
8597-CWYHH,One year,43,94.35,1132.1999999999998,0.1723146919029801,Low,195.09,195.09,P3,High Value,No immediate offer,Monitor only
2848-YXSMW,Two year,72,19.4,232.8,0.0039868652531042,Low,0.93,0.93,P4,Standard Value,No immediate offer,Monitor only
0486-HECZI,Month-to-month,55,96.75,1161.0,0.3153757734729936,Moderate,366.15,366.15,P3,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
4549-ZDQYY,One year,52,57.95,695.4000000000001,0.0299360624892911,Low,20.82,20.82,P4,Medium Value,No immediate offer,Monitor only
5712-AHQNN,Month-to-month,43,91.65,1099.8000000000002,0.2716879727797849,Moderate,298.8,298.8,P3,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
4846-WHAFZ,Month-to-month,37,76.5,918.0,0.4738203746128767,Moderate,434.97,434.97,P2,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
5256-SKJGO,Two year,64,54.6,655.2,0.0690396590880219,Low,45.23,45.23,P4,Medium Value,No immediate offer,Monitor only
3071-VBYPO,Month-to-month,3,89.85,1078.1999999999998,0.3715841287418606,Moderate,400.64,400.64,P2,High Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
9560-BBZXK,Two year,36,31.05,372.6,0.0429998228153687,Low,16.02,16.02,P4,Standard Value,No immediate offer,Monitor only
5299-RULOA,Month-to-month,10,100.25,1203.0,0.803057738742036,Critical,966.08,966.08,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8402-OOOHJ,Two year,41,20.65,247.8,0.0012305969304874,Low,0.3,0.3,P4,Standard Value,No immediate offer,Monitor only
9445-ZUEQE,Month-to-month,27,85.2,1022.4,0.3003521460820721,Moderate,307.08,307.08,P3,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
1091-SOZGA,One year,56,99.8,1197.6,0.1820738746758826,Low,218.05,218.05,P3,High Value,No immediate offer,Monitor only
2928-HLDBA,Month-to-month,6,20.7,248.4,0.0822678659177787,Low,20.44,20.44,P4,Standard Value,No immediate offer,Monitor only
0404-SWRVG,Month-to-month,3,74.4,892.8000000000001,0.7293982148421588,High,651.21,651.21,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
6497-TILVL,Month-to-month,7,50.7,608.4000000000001,0.2192146257786739,Low,133.37,133.37,P4,Medium Value,No immediate offer,Monitor only
7219-TLZHO,Month-to-month,4,20.85,250.2,0.1374864697644702,Low,34.4,34.4,P4,Standard Value,No immediate offer,Monitor only
4622-YNKIJ,Two year,33,88.95,1067.4,0.08113708512589,Low,86.61,86.61,P4,High Value,No immediate offer,Monitor only
4412-YLTKF,Month-to-month,27,78.05,936.6,0.4541612995489787,Moderate,425.37,425.37,P2,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
6734-PSBAW,Two year,72,23.55,282.6,0.0021320993433381,Low,0.6,0.6,P4,Standard Value,No immediate offer,Monitor only
3930-ZGWVE,Month-to-month,1,19.75,237.0,0.3207611009573272,Moderate,76.02,76.02,P4,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
2639-UGMAZ,One year,71,56.45,677.4000000000001,0.1413340469969412,Low,95.74,95.74,P4,Medium Value,No immediate offer,Monitor only
2876-GZYZC,Month-to-month,13,85.95,1031.4,0.6093853469717775,High,628.52,628.52,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6207-WIOLX,Month-to-month,25,58.6,703.2,0.3099138764319599,Moderate,217.93,217.93,P3,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
8587-XYZSF,Two year,67,50.55,606.5999999999999,0.0277385928624851,Low,16.83,16.83,P4,Medium Value,No immediate offer,Monitor only
3091-FYHKI,Month-to-month,1,35.45,425.4,0.7780699924037897,Critical,330.99,330.99,P3,Standard Value,Contract conversion incentive,High-touch onboarding recovery and service review
2372-HWUHI,Month-to-month,2,44.35,532.2,0.4944905258278588,Moderate,263.17,263.17,P3,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
7799-LGRDP,Two year,43,25.7,308.4,0.0416647671944383,Low,12.85,12.85,P4,Standard Value,No immediate offer,Monitor only
7850-VWJUU,Month-to-month,23,75.0,900.0,0.3041234506219499,Moderate,273.71,273.71,P3,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
3774-VBNXY,Two year,64,20.2,242.4,0.0017449294121102,Low,0.42,0.42,P4,Standard Value,No immediate offer,Monitor only
6217-KDYWC,Two year,57,19.6,235.2,0.0266565898971876,Low,6.27,6.27,P4,Standard Value,No immediate offer,Monitor only
0390-DCFDQ,Month-to-month,1,70.45,845.4000000000001,0.7234779906975768,High,611.63,611.63,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
3146-MSEGF,Two year,72,88.05,1056.6,0.0092853485438417,Low,9.81,9.81,P4,High Value,No immediate offer,Monitor only
4080-OGPJL,Month-to-month,8,71.15,853.8000000000001,0.4379801242142535,Moderate,373.95,373.95,P3,Medium Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
1095-WGNGG,Two year,61,101.05,1212.6,0.0677740167363417,Low,82.18,82.18,P4,High Value,No immediate offer,Monitor only
2636-SJDOU,One year,64,84.3,1011.6,0.040238190299991,Low,40.7,40.7,P4,High Value,No immediate offer,Monitor only
1131-QQZEB,Two year,71,23.95,287.4,0.0011140532716655,Low,0.32,0.32,P4,Standard Value,No immediate offer,Monitor only
5716-EZXZN,Two year,65,99.05,1188.6,0.021769946494292,Low,25.88,25.88,P4,High Value,No immediate offer,Monitor only
6837-BJYDQ,One year,3,19.6,235.2,0.0191592842923847,Low,4.51,4.51,P4,Standard Value,No immediate offer,Monitor only
2135-RXIHG,Month-to-month,1,45.65,547.8,0.6708011358633444,High,367.46,367.46,P3,Standard Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
6440-DKQGE,One year,30,64.5,774.0,0.0560462852566843,Low,43.38,43.38,P4,Medium Value,No immediate offer,Monitor only
3466-BYAVD,Month-to-month,15,69.5,834.0,0.1143099991278591,Low,95.33,95.33,P4,Medium Value,No immediate offer,Monitor only
3780-YVMFA,Month-to-month,8,68.55,822.5999999999999,0.3438711365264941,Moderate,282.87,282.87,P3,Medium Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
3874-EQOEP,Month-to-month,7,95.0,1140.0,0.7798335672621699,Critical,889.01,889.01,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1679-JRFBR,One year,70,108.15,1297.8000000000002,0.1230422135077484,Low,159.68,159.68,P3,High Value,No immediate offer,Monitor only
9073-ZZIAY,Two year,62,86.1,1033.1999999999998,0.0062689590482237,Low,6.48,6.48,P4,High Value,No immediate offer,Monitor only
3077-RSNTJ,Month-to-month,6,19.7,236.4,0.090110888938681,Low,21.3,21.3,P4,Standard Value,No immediate offer,Monitor only
6551-GNYDG,Month-to-month,14,80.9,970.8,0.5034425717507578,High,488.74,488.74,P2,Medium Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
9167-APMXZ,Month-to-month,22,84.15,1009.8,0.4187986223888287,Moderate,422.9,422.9,P2,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
2749-CTKAJ,One year,22,20.15,241.8,0.0234706806855844,Low,5.68,5.68,P4,Standard Value,No immediate offer,Monitor only
6371-NZYEG,Two year,16,64.25,771.0,0.0267268297650293,Low,20.61,20.61,P4,Medium Value,No immediate offer,Monitor only
7554-NEWDD,Two year,10,25.7,308.4,0.0224761656359577,Low,6.93,6.93,P4,Standard Value,No immediate offer,Monitor only
8992-VONJD,Month-to-month,13,56.0,672.0,0.2197184166402801,Low,147.65,147.65,P4,Medium Value,No immediate offer,Monitor only
0867-MKZVY,Month-to-month,20,82.4,988.8,0.4287024934070153,Moderate,423.9,423.9,P2,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
4482-EWFMI,Month-to-month,2,69.7,836.4000000000001,0.5753440715285455,High,481.22,481.22,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
4648-YPBTM,Two year,53,73.9,886.8000000000001,0.0181028496849768,Low,16.05,16.05,P4,Medium Value,No immediate offer,Monitor only
2907-ILJBN,One year,11,20.6,247.2,0.0522930199292532,Low,12.93,12.93,P4,Standard Value,No immediate offer,Monitor only
6345-FZOQH,Two year,69,19.9,238.8,0.0022000677106576,Low,0.53,0.53,P4,Standard Value,No immediate offer,Monitor only
3376-BMGFE,Month-to-month,4,70.9,850.8000000000001,0.6185895228981657,High,526.3,526.3,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
5997-OPVFA,Two year,72,89.05,1068.6,0.000897296485134,Low,0.96,0.96,P4,High Value,No immediate offer,Monitor only
3445-HXXGF,Month-to-month,58,45.3,543.5999999999999,0.4343710364885446,Moderate,236.12,236.12,P3,Standard Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
1159-WFSGR,Month-to-month,16,20.4,244.8,0.1171005269116897,Low,28.67,28.67,P4,Standard Value,No immediate offer,Monitor only
7654-YWJUF,One year,43,84.25,1011.0,0.0820779967667298,Low,82.98,82.98,P4,High Value,No immediate offer,Monitor only
1875-QIVME,Month-to-month,2,104.4,1252.8000000000002,0.7406406659422765,High,927.87,927.87,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6727-IOTLZ,Two year,14,81.95,983.4,0.0317658788018311,Low,31.24,31.24,P4,Medium Value,No immediate offer,Monitor only
0691-JVSYA,One year,53,94.85,1138.1999999999998,0.2611270117561878,Moderate,297.21,297.21,P3,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
5918-VUKWP,One year,32,20.55,246.6,0.0045715379143906,Low,1.13,1.13,P4,Standard Value,No immediate offer,Monitor only
1744-JHKYS,Month-to-month,34,24.7,296.4,0.0689435652481977,Low,20.43,20.43,P4,Standard Value,No immediate offer,Monitor only
2656-FMOKZ,Month-to-month,15,74.45,893.4000000000001,0.6048965857588303,High,540.41,540.41,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
2070-FNEXE,Month-to-month,7,76.45,917.4,0.3952725145773663,Moderate,362.62,362.62,P3,Medium Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
5947-SGKCL,Month-to-month,15,105.35,1264.1999999999998,0.5293790966152613,High,669.24,669.24,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
3712-PKXZA,One year,61,20.55,246.6,0.0160896287274697,Low,3.97,3.97,P4,Standard Value,No immediate offer,Monitor only
6317-YPKDH,Month-to-month,1,29.95,359.4,0.4226918294753625,Moderate,151.92,151.92,P3,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
6582-OIVSP,Month-to-month,1,45.3,543.5999999999999,0.4862149023586307,Moderate,264.31,264.31,P3,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
9367-WXLCH,Month-to-month,8,84.5,1014.0,0.6717820121791943,High,681.19,681.19,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
5524-KHNJP,One year,33,74.75,897.0,0.1134042860229711,Low,101.72,101.72,P4,Medium Value,No immediate offer,Monitor only
