gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_flag,OnlineSecurity_flag,OnlineBackup_flag,DeviceProtection_flag,TechSupport_flag,StreamingTV_flag,StreamingMovies_flag,service_count,has_fiber,is_month_to_month,is_senior,avg_revenue_per_month,estimated_annual_revenue,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_band_13-24 Months,tenure_band_25-48 Months,tenure_band_49+ Months,monthly_charge_band_Low,monthly_charge_band_Medium,monthly_charge_band_Very High,contract_risk_band_Low Risk,contract_risk_band_Moderate Risk,target_churn
1,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,1,0,0,1,0,1,1,4,1,0,0,97.95,1204.1999999999998,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,0,1,1,0,1,1,5,1,1,0,102.78163265306122,1244.4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,1,0,1,1,1,1,5,1,1,0,107.44200000000001,1266.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,1,1,1,1,1,1,1,7,1,0,0,114.42246376811593,1359.0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,0,0,0,0,0,0,0,0,0,19.672115384615385,247.79999999999998,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,1,1,0,1,0,1,1,5,1,0,0,103.97535211267606,1280.4,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,0,0,0,1,1,0,0,2,0,1,0,52.835,662.4000000000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,0,1,1,0,0,1,3,1,1,0,88.70952380952382,1080.6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,0,0,0,1,0,0,1,2,0,1,1,39.65,475.79999999999995,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,0,0,0,0,0,0,0,0,0,0,16.854166666666668,237.60000000000002,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,0,0,0,0,0,0,0,0,0,1,0,20.15,241.79999999999998,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,1,0,1,0,1,0,0,3,0,0,0,60.432758620689654,718.8,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
1,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,1,1,0,1,0,0,3,0,1,0,60.61836734693878,715.2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,1,1,0,0,0,0,2,0,1,0,51.019999999999996,663.5999999999999,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,0,1,0,0,1,1,4,1,1,0,101.04574468085106,1192.1999999999998,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,0,0,1,0,0,0,0,1,0,1,0,30.2,362.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,1,1,1,1,1,1,1,7,0,0,0,88.46458333333334,1083.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,0,0,0,0,0,1,1,2,0,1,0,64.3,776.4000000000001,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
0,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,1,1,1,1,1,0,0,5,1,0,1,95.30915492957746,1156.1999999999998,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,0,0,1,0,1,1,3,1,1,1,90.825,1146.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,1,1,1,1,0,0,4,0,0,0,69.42407407407407,793.8000000000001,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,0,0,0,0,0,0,1,0,20.2,242.39999999999998,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0,0,0,0,0,0,0,0,1,1,45.25,543.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,1,1,1,0,1,1,0,5,1,0,0,100.71805555555555,1198.8000000000002,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,0,0,0,0,0,0,0,0,1,1,0,63.379999999999995,836.4000000000001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,0,0,1,0,0,0,1,1,1,0,77.13695652173914,897.5999999999999,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,0,1,1,0,1,1,5,1,1,0,104.38970588235294,1276.1999999999998,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,0,0,1,0,1,1,4,1,1,0,100.4909090909091,1174.1999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,0,1,0,0,0,0,1,0,0,0,47.57,594.5999999999999,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,1,1,1,0,0,1,0,4,0,0,0,69.605,830.4000000000001,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
0,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,0,0,0,0,0,0,0,0,0,0,24.602941176470587,249.0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,1,1,1,1,1,1,0,6,0,0,0,77.16587301587302,958.1999999999999,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,1,1,1,0,1,1,0,5,0,1,0,75.49615384615385,914.4000000000001,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,1,0,0,0,0,0,1,2,1,1,0,79.72857142857143,1014.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,0,1,0,0,0,0,1,0,1,0,48.5,591.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,0,0,0,0,0,1,0,1,1,1,0,72.075,967.8000000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,1,1,0,0,1,1,1,5,0,0,0,81.11153846153846,957.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,1,1,0,1,1,0,0,4,0,0,0,61.6536231884058,769.8000000000001,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
0,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,1,0,1,0,0,1,0,3,1,1,1,89.27325581395348,1083.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,0,1,1,0,0,1,1,4,1,1,0,95.09333333333333,1189.1999999999998,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,1,1,0,0,1,1,0,4,0,1,1,70.10600000000001,834.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,0,1,0,0,0,0,2,1,1,1,79.1625,967.8000000000001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,1,1,1,1,0,1,5,0,0,1,74.27250000000001,898.1999999999999,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,0,0,0,0,1,1,3,1,1,1,97.36388888888888,1145.4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,1,1,0,0,0,1,1,4,1,0,0,100.17777777777778,1195.8000000000002,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,1,0,1,1,1,1,1,6,1,0,1,107.21742424242424,1301.4,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
0,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,1,0,0,0,0,0,0,1,0,0,0,26.302941176470586,299.4,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,1,0,0,1,1,1,1,5,1,0,0,109.07916666666667,1290.0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,1,0,0,1,0,1,1,4,1,1,0,100.15106382978725,1206.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,1,0,1,0,0,1,0,3,1,1,0,90.845,1078.8000000000002,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,1,1,1,0,0,0,3,0,0,0,41.138888888888886,505.20000000000005,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
0,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,0,0,1,1,0,0,2,0,0,0,53.172222222222224,652.8,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,0,0,0,0,1,1,3,1,1,0,95.25,1132.8000000000002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,0,1,0,1,1,1,4,0,1,0,81.36666666666666,903.5999999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,1,0,1,0,0,0,0,2,1,0,0,77.66702127659575,946.8000000000001,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,0,1,1,1,1,1,5,0,0,0,80.55483870967741,950.4000000000001,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,0,0,0,0,0,0,0,0,0,0,18.618,241.79999999999998,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,1,0,1,0,0,0,2,1,1,0,88.735,958.1999999999999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,0,0,0,1,0,0,1,0,1,0,49.05,588.5999999999999,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,0,0,0,0,0,0,0,0,0,0,20.974038461538463,244.79999999999998,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0
1,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,1,1,0,1,1,1,1,6,1,0,1,110.921875,1339.1999999999998,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,1,0,0,0,0,0,0,1,0,0,0,22.97741935483871,291.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,1,0,0,1,0,1,3,0,1,0,59.13333333333333,774.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,1,1,1,1,0,1,1,6,1,0,1,109.63392857142857,1326.0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
0,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,0,0,0,0,0,1,1,0,0,0,58.45326086956521,667.8,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,1,1,0,0,0,0,2,0,1,0,60.28125,655.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,1,1,0,0,1,1,4,0,1,1,70.37666666666668,897.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,1,0,0,0,0,0,0,1,0,0,0,27.035555555555554,310.79999999999995,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,0,0,0,0,0,1,0,1,1,1,0,79.35,952.1999999999999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,1,0,0,0,1,1,3,0,1,0,51.39545454545455,606.5999999999999,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,0,0,0,1,0,0,0,1,1,1,0,70.98571428571428,901.8000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,0,1,1,1,1,1,5,1,1,0,103.03571428571429,1245.6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,0,0,0,0,0,0,0,0,0,0,19.864285714285714,241.79999999999998,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,1,0,1,0,0,1,1,4,1,1,0,102.08333333333333,1191.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,1,0,0,0,1,0,2,0,0,0,63.29857142857142,745.8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,0,0,0,0,0,0,0,0,0,0,22.020833333333332,247.79999999999998,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,0,0,0,0,0,0,0,0,0,0,20.15434782608696,239.39999999999998,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0
1,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,0,0,0,0,1,0,1,0,1,0,34.80172413793103,405.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,0,1,1,0,0,0,2,1,1,0,85.67333333333333,984.5999999999999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,0,0,0,1,0,0,1,1,1,1,74.7,896.4000000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,1,1,0,1,1,1,1,6,0,0,0,86.57954545454545,1008.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,1,1,1,1,0,1,1,6,1,1,0,109.33846153846154,1332.6,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,1,0,1,1,0,1,1,5,1,0,0,103.59791666666666,1210.8000000000002,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
0,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,1,0,0,0,0,0,2,1,1,0,77.27916666666667,947.4000000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,1,1,1,0,1,0,0,4,0,0,0,66.8830985915493,802.1999999999999,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,0,0,0,0,0,0,0,0,0,1,0,22.77,252.60000000000002,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,0,0,0,0,0,0,0,0,0,0,21.292307692307695,252.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
0,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,0,0,1,1,0,1,1,4,1,1,1,100.58,1182.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,0,0,0,0,0,0,1,0,20.2,242.39999999999998,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,0,0,0,0,0,0,0,0,1,0,19.45,233.39999999999998,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,1,0,0,1,1,1,0,4,1,0,0,94.88421052631578,1140.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,0,1,1,0,1,0,3,0,0,1,45.86742424242424,546.5999999999999,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,0,1,1,1,1,1,6,1,0,0,111.93897058823529,1320.0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
1,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,0,0,0,0,0,0,0,0,1,0,20.04,291.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,1,1,1,0,0,1,1,5,1,0,0,101.43125,1249.8000000000002,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
0,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,1,0,0,0,0,0,1,0,0,0,28.9890625,361.79999999999995,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,1,0,0,0,0,1,1,3,1,0,0,91.19302325581396,1132.1999999999998,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,0,0,0,0,0,0,0,0,0,0,18.93402777777778,232.79999999999998,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
1,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,1,1,0,0,1,0,4,1,1,0,95.25272727272727,1161.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,1,0,1,1,0,0,3,0,0,0,58.50480769230769,695.4000000000001,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,0,1,1,0,1,0,3,1,1,0,91.95581395348837,1099.8000000000002,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,0,0,0,0,0,0,1,1,1,1,77.51756756756757,918.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,0,1,0,1,1,1,4,0,0,0,53.4921875,655.2,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
1,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,1,1,0,0,1,0,3,1,1,0,82.8,1078.1999999999998,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,1,0,0,0,0,0,1,0,0,0,31.287499999999998,372.6,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,1,0,0,0,1,1,4,1,1,0,106.465,1203.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,0,0,0,0,0,0,0,0,0,0,20.36951219512195,247.79999999999998,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0
1,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,1,0,1,0,1,0,0,3,1,1,0,79.68888888888888,1022.4000000000001,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,1,0,0,1,0,1,1,4,1,0,0,98.49017857142857,1197.6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,0,0,0,0,0,0,0,0,1,0,18.791666666666668,248.39999999999998,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,0,0,0,0,0,0,1,1,1,0,76.51666666666667,892.8000000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,1,0,0,0,0,0,1,0,1,0,50.050000000000004,608.4000000000001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,0,0,0,0,0,0,0,0,1,0,15.725,250.20000000000002,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,1,0,0,1,1,0,3,1,0,0,91.7469696969697,1067.4,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
